,Review
1106,Good phone in as described condition.  So far it’s performance has been amazing.
1107,"I am enjoying my phone, there is a lot this phone can do. I am learning them gradually."
1108,The phone is not working I’ve had problems with it ever since I got it I need to get a refund
1109,Giving too much problems than I returned it and I didn’t even get my money back yet
1110,Ok so I know there’s a lot of people saying this order is not worth but honestly I got my phone a VERY good condition and would buy again in the future I WOULD totally recommend you buy this if is so worth it!
1111,"Not only is the color so pretty on the phone the face recognition is so fast and the battery life is amazing. Definitely worth the spend, not a scratch or ding on this phone. And it came a day early!"
1112,"Batería al 100%, ningún rayon y básicamente nuevo. La mejor compra"
1113,"This phone was not working. I had to take it to the apple store to have it repaired at the cost of $200.00 dollars. I paid over $700.00 for this phone. The total cost of a new phone. Bad use phone, not worth the cost."
1114,I was a little skeptical at first cause of the price but this phone cause 4 days early and the batter was at 95%! No scratches or anything practically looked brand new.
1115,Just received but it’s definitely like new and unlocked a bit pricey for refurbished
1116,Perfecto estado 🤩/ is perfect work great 😊
1117,I love my iPhone when I got it there was nothing wrong with it no scratches no cracks or dents and most importantly no water damage everything works fine
1118,"The iPhone come with 1 minimal scratch on the left side(volume button), but in summary is cool.Battery 93%. Worth the buy."
1119,"the iphone is locked, provide with T Mobile ....."
1120,Great price and basically brand new! This phone was very easy to set up and I love the upgrade from a 7 !
1121,"The iPs one was advertised as fully unlocked, i.e. could be used on any network. When it arrived it was discovered to be locked to the AT&T network, which we do not have in South Africa. The iPhone was thus useless for me."
1122,The phone was suppose to be like new and reconditioned. It has a bad battery life and there was scratches all over it.
1123,"The media could not be loaded.
                




   Everything is good. Phone is unlocked and the battery capacity is great. Came with a charger and a screen protector that was already on the phone. No scratches, just like new."
1124,Camera should be better. It freezes sometimes.
1125,"Looks good, unfortunately price a little bit high"
1126,Very bad phone. looks very old phone and charger and earphone looks very chip . I dont like this phone and charger . i am not happy from this order i will return this order .respect customer
1127,El teléfono lo recibí muy rayado en malas condiciones las cámaras sucias. Decepcionada totalmente ni siquiera el cargador era original. La batería vino con un 87% de vida útil
1128,Nothing
1129,Not for nme
1130,Phone looked and worked like a new one. Battery life was at 85%. Very pleased with my purchase.
1131,It’s pretty much new. I was a bit nervy that the maximum battery life would be 80% or better at full charge. It has 100%.
1132,Very minor cosmetic damage that was easy to cover with a case and a screen protector! Battery life is about as good as possible.
1133,My granddaughter loves it. Great battery life.
1134,There was a big crack in the screen
1135,This was a birthday gift for my daughter and she loves it!
1136,Nice phone
1137,Perfecto funciona bien !
1138,"Came earlier than expected !! It’s beautiful , had problems at first with sim being locked but just had to call my carrier for them to walk me through the steps"
1139,"My Daughter is literally in love with this phone! It's in perfect condition, brand new if you ask me!!"
1140,Screen came cracked and won’t even contact me back about a refund or exchange
1141,"Touch screen does not always respond to touch sadly.  Will not buy another ""refurbished""."
1142,Excellent Buy
1143,It’s okay to have condition was okay only a single issue is that when you’re on a phone call the other person can’t hear you well unless you’re using an earphone/airpods
1144,the phone was likes new
1145,Phone met my expectations no problems.
1146,when i got the phone it saw some color was missing from the camera. but that’s mostly all. but lover all a good buy. Battery heath is at 86% but is still lasts a while.
1147,Came in excellent condition
1148,"Llego el iphone con 90% de vida de bateria, y un rayon en una de las esquinas del marco. Fuera de eso, contento con la entrega y sin problemas con el equipo renovado."
1149,Perfect 🥰
1150,Not a fully unlocked phone. Unusable
1151,"Phone came in great shape, it has a screen protector on it, and it came preloaded with an app that allows you to test all the buttons. I have had no issues so far! I have had it for about 1.5 months."
1152,El equipo llegó con la pantalla rayada y el Mic no funciona casi nada.. no me escuchan al llamar o se va y viene la captación de audio.
1153,Works great as expected
1154,"The phone was in excellent condition, not a scratch. Also after shopping around I got it for the absolute est price!"
1155,Like New!
1156,Great
1157,Ver small minor scratch on the side that isn’t that noticeable. The battery life came at 100% and I love it.
1158,"I love the I phone 11, was amazing to figure out all the ways to use it."
1159,There are both side of mobile have scratch mark when I am not satisfied with sailor because of when bought the mobile that time nothing to show about scratch mark
1160,So far the phone is working perfect!  This is the 2nd refurbished iPhone I have purchased and I am very pleased.
1161,"The phone looked brand new and the battery health came at 100% which i was very surprised by, but overall it was worth the price. I would definitely buy from this seller again"
1162,Great condition
1163,The phone arrived a day after I purchased it. Super fast! The phone is awesome and in excellent condition! Love it!
1164,I bought jt hoping jt was a iPhone but to my surprise it was not a iPhone as it says it does not say iPhone on the back where it should it says product
1165,"I thought it’s renewed and looks like new..! But not new (refer my images) price is pretty higher for this. Battery below 90%,  shipping speed as usual UPS done faster."
1166,"They helped me by calling me and sending me a new phone, I’m really happy that they actually cared about consumers satisfaction."
1167,Good condition
1168,The screen had a non response zone
1169,"No visible flaws and everything worked great,absolutely  no complaints"
1170,Phone works great
1171,It's all good 👍
1172,Demasiado pesado
1173,Perfect condition! Just as new !
1174,"I got the phone in an Amazon box, well packaged. I’ve put my Nigerian sim which works well, so it’s fully unlocked. Battery life is 97% which is good. No scratches and phone perfectly works well. Looks like new and good buy"
1175,Very noticeable cosmetic damages. I would never buy this again 😡
1176,Great DealPhone works no problems
1177,"It came brand new, no scratches. I highly recommend ordering from them. I was a bit skeptical at first because of some other reviews but I totally love my phone. 10/10"
1178,I received my item and its asking for a passcode even though the factory should have been factory reset. I want to use this phone and cant because of the issue i am facing. NOT SATISFIED
1179,The phone came scratched up AND had a crack by the camera
1180,Doesn’t have a fingerprint reader obviously but it works well. I love the camera quality.
1181,"At first there were a few bugs, like my taps wouldn’t register, or the texts wouldn’t work but, after a few days it started working perfectly. 10/10"
1182,"El iPhone solo le suena un parlante de los dos que tiene, le escribí al vendedor contándole la situación y saber qué solución ofrecía pero no he recibido respuesta."
1183,"El cel. llego a tiempo, totalmente desbloqueado.Tiene algunos peladitos en los lados pero casi no se ven.La batería tiene un 85% de vida útil"
1184,"They said a minimum of 80% of battery health and I got 99% out the box which I love since it lasts all day. This is a value for your money since buying it on apple website, it’s $749 (for 256GB) while on here it’s $614 (depending on the color for 256GB)"
1185,Good product for the money.
1186,Funcionando de buena forma!
1187,Good
1188,It like that everything was nice on the phone
1189,I got the phone and it kept shutting on and off constanly.
1190,"Stopped charging 4 months after I got it, conveniently 1 month after the 90 day policy ran out."
1191,"Buen reconocimiento facial, lector de huellas bien, batería vida útil"
1192,When I order it it didn’t come for almost two weeks and the the battery sucks and I don’t use my phone much at all also ever time the battery dies I have to go though the whole process of re-backing my phone.
1193,"Hi I wanted to do a review as I was happy but not happy, When i got my iPhone in the mail and opened it I was so excited to have it. But then when I got it out to start using it the screen in the corner top right was cracked like it had been dropped. Is there anything I can do?"
1194,"The phone works great, but there’s marks all over the screen that keep getting bigger. Not sure what they sold me."
1195,"Esta muy bonito, el color me encanta"
1196,It’s perfect!
1197,So far like every thing!
1198,"This phone is what I expected, however the battery life is dwindling."
1199,At first when I powered it on it display not a original Apple product after dismissing the msg it working with out a hitch
1200,Just like new
1201,Received 5 days early! Works perfect! A great gift for mother in law
1202,"Everything seems to be working perfectly fine, no cracks, or damage to the phone when delivered, and everything was just the way I wanted it to seem"
1203,My phone came in 4 days!! Also with 89% battery health and no scratches or cracks. Everything works well and set was easy. I would highly recommend.
1204,Overall it was great for the price and everything is perfect except just a couple tiny scratches on the back but besides from that it’s great and I love it.
1205,"The media could not be loaded.
                




   The only thing is I had to switch phone companies but the phone works great.! Since Boost mobile changed ova it wouldn’t allow me to use my sim so I just changed services and took my number with me.!"
1206,"lamentablemente al ser de segunda presenta fallas la bateria vino al 90%, y se apaga se cuelga se prende solo para lo poco q ahorre hubiese preferido uno nuevo  nuevo."
1207,I bought this iphone 11 as a replacement/upgrade. It was unlocked and clean. No complaints whatsoever. It works and looks like a brand new phone.
1208,"Showed up on time, undamaged, like new, pretty, sunny yellow color,"
1209,Phone was in good condition and worth the price.  Only problem was they shipped FEDEX who miss routed it and it arrived two days late
1210,"Excellent product for the price, it’s a refurbished product but it’s as good as a new one!!"
1211,Great phone. Came in early and came in mint condition. I recommend this to anybody looking for a basically brand new phone for a cheaper price. Well worth my money.
1212,El celular llegó con el parlante delantero dañado y un golpe en el costado derecho. Quitando eso todo bien con el teléfono
1213,"Honestly , I don’t write reviews .. but with a purchase this expensive, it’s worth it☺️My phone is great!! I’ve had no problems with it !! Highly recommend 💕💕"
1214,"Phone was very clean, absolutely no scratches or blemishes, accessories included.It was much better shape than expected, worth every penny."
1215,Little lame that it only has max 88% battery life but the phone is in amazing shape. Even came with a glass screen protector already on it. Overall great experience.
1216,Perfect replacement!!!
1217,Excelente
1218,"Excelente producto, totalmente nuevo, no tiene rayones de ninguna clase, gran sonido y calidad de pantalla, la batería te dura todo el día"
1219,Love it
1220,I like item very different from the old iPhones are used to have very different but I do like it thank you
1221,The phone came with a 98 percent battery life no cracks or scratches on the phone it was perfectly fine it looks brand new
1222,"The phone was almost new but the screen was damaged, the entire left side of the screen didn’t work, letters WSZADQX couldn’t be pressed so I had to pay for a new screen wich cost me 150$"
1223,It alright it freezes from time to time and cut you in and out of calls
1224,Great phone
1225,Everything and excellent price!
1226,Phone broke 4 months after I ordered due to a “hardware” issue I’m pretty sure the phone broke from this before and had to be renewed and was never truly fixed this is a faulty phone and I would not order it
1227,after a couple days the touch screen started being very unresponsive. Impossible to type on and different apps opening when I was clearly trying to open another one.
1228,"The phone came with a few scratches on the screen but you can't see them after putting a screen protector on.  Everything else works fine, the battery came in with 86% battery health."
1229,Awesome phone. Great price
1230,"I like the fact its on excellent visual conditions with no scratches, like new. Excellent battery lifetime. Camera on perfect conditions. Face ID on. Excellent purchase."
1231,im so sorry is a mistake l don't receipt the pack yes it was a conduction with empty box my wife order from somebody else your alder don't arrive yes
1232,Don’t waste your money people I got my phone and it’s in terrible condition I can’t even get the phone to come on
1233,"Phone came as good as new! Battery life was at 100% and screen and body had ZERO scratches. I wish the phone came with a better charger, but the one it came with is good enough. No complaints! 10/10"
1234,"Such a great phone, great price!  Couldn’t be happier!  Thank you so much!"
1235,It was in perfect condition and is an amazing phone!  Thanks
1236,Was shipped with battery health at 84%. Unfortunately it’s my first iPhone after life of Android so I didn’t catch that until after the 30 days warenry
1237,This came like it was brand new
1238,I love my phone I feel as though I made a good choice . Would recommend to anyone !
1239,Love this phone. It arrived early in great condition. I was upgrading from a 6 so it's going to take me a while to learn how to be as smart as my phone now.
1240,Love it!
1241,"Teléfono en muy buen estado, tal y como lo indican en la reseña. Todo igual según lo explicado, buena compra y me ahorré 100 dólares si compraba uno nuevo."
1242,"It didn’t work with my boost mobile SIM for some unknown reason so I had to get a T mobile SIM which worked. Great product, looks brand new"
1243,This phone is glitching bad I can’t even type on the keyboard some of the letters won’t appear  and I can’t click on certain apps
1244,It's for my daughter and she loves it
1245,Llego un dia antes de la fecha y sano y salvo me encanto y trajo protector de pantalla 👏🏼👏🏼👏🏼💪🏼🥰
1246,"Un dispositvo esta dando problemas con el software las aplicaciones se cierran solas, el telefono se reinicia solo y se queda en con la manzana de apple. Si el problema continua se solicitara la devolucion"
1247,Great phone. Was as advertised. Shipping was perfect and right on time.
1248,"It was great how the phone came with a screen protector on already. I went out to go buy some without knowing, but now I have extra screen protectors. The shipping was really fast as well. Ordered it and got it within two days to my surprise."
1249,Item was damaged
1250,The battery life was a concern for me before purchasing but no worries the battery is lasting very well with my use
1251,"90 day warranty, phone dies at 118"
1252,"I like the phones speed , cameras quality  increased with different features .More memory capability than my previous iPhone Xmax (Rosegold) Appreciate this phone and like it very much"
1253,Reached on time in great condition. Working great. Worth of money.
1254,With the shipping it was 701 but that’s okay I understand there’s a lot to get it to you EARLIER THAN EXPECTED & in GREAT condition during the pandemic going on. I truly appreciate it and I’m happy with my new phone! Cheers !
1255,"The media could not be loaded.
                




   it came sooner than expected ! great investment hardly any cosmetic defects, and it came with a 100% batter capacity ! awesome :)"
1256,"I am here doubting whether this phone is pre owned. I can't tell it's not knew! Battery life still on top game, no scratches perfect camera. Only that it came without a USB cable, which was easy to grab."
1257,The phone has met my expectations.
1258,"I was a bit scared getting this at first but when it arrived, it was in very good condition and I was able to add the phone to my plan on the same day!!"
1259,Funciona excelente y estéticamente muy bueno.
1260,I love my new phone. Lilac is my favorite color!
1261,Good
1262,It came unlocked as stated and is real and authentic iPhone 11
1263,I can’t believe I waited so long to purchase it!!
1264,Probablemente de las mejores compras que he realizado. Básicamente me enviaron un iPhone 11 rojo nuevo y desbloqueado. Mi compañía telefónica es Claro y todo funciona al 100%
1265,The phone came with a charger and block. The screen was nice and came with a screen protector. It isn’t dirty that is just my mirror. It feels nice and there were no cracks. Love it!!
1266,good
1267,"The media could not be loaded.
                




   It has these green spots on the screen that are very noticeable and battery life was at 86"
1268,Made it work!
1269,"Got a nice clean iphone, everything worked properly, came in with 100% battery life and fully unlocked with no sim restrictions"
1270,Speaker phone didn’t work then two weeks later ear speaker failed as well. Only way I can use my phone is through my AirPods.
1271,Exceptional device. Battery life is a bit on the down side however everything works seamless. Battery percentage was roughly 85%.
1272,For the price I paid I did not expect it to have this many scratches on the screen I could of gotten a new one for the same price
1273,love it feels brand new and it came 2 days earlier than expected 😊
1274,"Came with a phone charger which was nice, phone worked just as promised and came fully carrier unlocked. Would recommend"
1275,Amazed!  I was worried about buying a refurbished phone but everything works amazing!  The audio and camera are 10/10. Battery life is at 100% capacity. I’ve had no problems. This was a great buy.
1276,"Pésimo servicio, no responden los mensajes, el celular llegó con problemas del parlante y del micrófono, se escucha súper bajo y con ruido, les recibí y nunca respondieron, pésimo, pésimo"
1277,love this phone! it was refurbished but in excellent condition. unlocked and very easy to get it all set up for my daughter. she has used it for 2 months now and she is very happy with it.
1278,"The ""Do Not Disturb"" button wouldn't toggle off. So, calls go not noticed!Clearly, it hadn't been thoroughly tested.Apple Tech Support had to point out the defect."
1279,"The phone arrived within a week. It came nicely packaged with a charger and it has a screen protector on already. BuySpry is a great seller, I 100% recommend purchasing from them. I have no problems with my phone, I absolutely love it!"
1280,It came looking brand new and  works brand new I’ve had no problems with the phone at all  it’s had like 2 small scratches but for half the price it’s definitely a good deal
1281,"I love it, will not know that its not new, its works great and the phone was brand new."
1282,El teléfono físicamente se encuentra en buenas condiciones pero la batería está en 79% un porcentaje bajo para la utilidad del teléfono
1283,Awesome.
1284,"Souper poor packaging, Do not expecting original charger with it, I've returned it immediately,You can buy very much better refurbished from Apple directly"
1285,"Muy bueno, hasta ahora todo excelente. todo funciona de maravilla"
1286,Bad product.
1287,My daughter love it I was scared to open it but when I did it was perfect the color was great the screen was good my daughter love it
1288,Product was practically brand new! It had no scratches and battery was at 100% performance. It didn’t come with the original packaging but still worth the money
1289,"Mine came unlocked worked for my carrier, perfect condition, I got my phone in 2 days after ordering it. I love my phone.❤️"
1290,You can’t transfer old iPhone to this you have to start it as a brand new but as long as your cloud is backed up you should be straight
1291,"Had a lot of scratches on the screen, bottom and back of the phone. Very disappointed. Thinking about sending back."
1292,She’s happy. So I’m happy.
1293,It’s like new and the battery lasts—only needs to be charged every couple of days.
1294,I have had nothing but issues with this phone since I’ve got it. Now I am not even able to use my hotspot. It is worthless to me.
1295,Un excelente teléfono a un gran precio
1296,Battery could be better but at 86% i cant complain to much and needs less scratches on the back to get a full 5 star review
1297,Worst experience never buy a used phone it’s locked and can’t be unlocked due to the previous owner
1298,"the phone came like brand new the only flaw was that the battery capacity was at 88, it would be better at a 90 or higher."
1299,Phone arrived in like new condition.  Would never have known it was renewed. Easy set up with no issues.  Worked perfect with my AT&T SIM card.
1300,I was skeptical on how the phone would be due to some of the 1 star reviews but I received mine this morning and it’s amazing. It looks brand new and the battery life was at 100% literally nothing wrong with it. I’m so happy and it also came 2 days early
1301,"Me llego en perfecto estado, casi no tiene defectos estéticos luce como nuevo, la batería le dura bastante, la verdad muy satisfecha con la compra."
1302,"Phone was in very good condition. It was as advertised, very very minor scratches only noticeable when phone was up close, not visible at arms length. I highly recommend!"
1303,I love it! Basically brand new I’ve seen plenty good reviews and thought I’d try it! If you buy it unlocked you get it unlocked for sure!! Thank you
1304,Its a nice phone but it came damage half the phone screen didnt work at all couldn't tap on any apps or text. I dont know if whoever shipped damage it or it was just bad phone but im not happy
1305,Excelente condiciones
1306,Every thing is rigth
1307,Es perfecto 😻😻😻 la batería dura mucho y no tiene ningún desperfecto
1308,"I can’t say that there is anything I dislike about this phone. I do very much so like that it came with a screen protector on it, completely unexpected might I add. All together a great purchase well worth the money!"
1309,As the title says. Works fine but a lot of scuffs and scratches on the screen.Tried to cover them up with protectors but still highly noticeable.
1310,Dislike that I couldn’t hear hardly on the phone after a week of receiving the phone! Plus it acted as  if it had/has water damage !
1311,"Entiendo que el aparato no es nuevo, pero este daño no es menor. Espero al menos un reintegro parcial."
1312,"I like that it was here a day early, it scared me when the touch screen didn’t work at first, then by magic it started working when I said I was going to take it back. Been working since then."
1313,"Refurbished iPhone 11 is a quality product.. no scratches, very good condition."
1314,Phone was shipped with a broken microphone
1315,Like my purchase!
1316,"Everything is perfect, only problem is when my screen is off I can’t see who’s calling. Never had that problem before."
1317,Good Phone. Have always bought refurbished phones off Amazon and have never had a problem. Battery life was 88% but besides that great product.
1318,"I was a little bit iffy about buying it but I did and when it came in I wasn’t disappointed, I love it I have never had an iPhone before and I am very happy"
1319,The phone works great but they failed to mention that it won’t work with all phone companies. Fully renewed and restored they should put which companies you can use as a plan and which ones you can’t but they don’t.VERY misleading product.
1320,Product defective and would not allow set up.  It continued to error over and over.  Would not connect to Apple server.  Sadly returning item.
1321,Everything works just like a brand new phone.
1322,iPhone 11 came super fast shipping and in good shape. I’m very satisfied with my purchase!
1323,The phone was advertised as being fully unlocked I had to change carriers just to get the phone activated if I knew it was still locked I never would have brought it
1324,The screen came damaged and they want me to ship the phone on my own because I’m an international buyer
1325,Over very good - wish earbuds were included
1326,"DONT BUY IF YOU HAVE BOOST OR SPRINT, but other than that the phone works perfect it looks brand new I deff recommend"
1327,No scratches no nothing...looks brand new...works great
1328,"It came early but it has some cracks on the back of the phone. It has been so used, and the phone keep turning off."
1329,Came In like brand new couldn’t tell a difference. Definitely would recommend.
1330,The phone Life battery is low..I charged it to 100% haven't used it that much and in less than an hour it's was 89%
1331,"Phone came looking like it just left the apple factory, 100% battery life everything works perfectly excellent purchase"
1332,"My screen cracked after just setting it on my bed, after only a week of having it, so I had to go get it fixed and spent even more money.."
1333,"Great product, minimal details and everything works as expected"
1334,I opened it and tried to turn it on and half the screen was black and the screen was literally coming off I am so excited to get my refund 😑
1335,Phone works great. Has a few very small scratch on the bottom near the charging port but nothing that you would even see with a case on.
1336,It has scratches in the corner so I decided to send it back
1337,"Got this iphone 11 for my daughter birthday, very pleased, no problems at all, great purchase"
1338,Phone was expected. Very happy with it. Face recognition works well.
1339,Value for money
1340,Everything appeared great until I tried to answer a call. The volume did not work properly. I sent a message to owner and they did not respond. I had to go through Amazon to get a full refund.
1341,"Great buy! Great price. So far, no problems to report"
1342,this was my first phone so I was pretty nervous getting it. But when I did I LOVED it! It even came 2-5 days earlier too. It has just been some hours but it feels like 2 months. The camera is very good. Would recommend buying it c:.
1343,I love the battery life I give this phone a 10+
1344,"It came in perfect conditions, and arrived earlier yeah expected. Came with screen protector and charger."
1345,Exceedingly great looks sexy 😁
1346,Product arrived very late and constantly reboots on it's own!
1347,Price and availability
1348,Teléfono en muy buen estado y perfecto funcionamiento
1349,"Excelente condición del producto 10 puntos de 10, y las funciones todas activas.El vendedor excelente porque llegó muchísimo antes de lo esperado"
1350,The phone came earlier than expected and I’m honestly really happy with it :) It’s for sure a good buy the phone looked basically brand new and I love the color!
1351,The battery life really sucks On the phone. Miss my android.
1352,"My item shipped fast, however when I got it there was scratches on the screen, and the microphone does not work. People cannot hear me when I talk, facetime or take a video. I have tried to contact them 3 times, with no response back."
1353,"Muy Bien en gral, salvo alguna rayones en la esquina superior derecha de la pantalla, que se notan al estar oscura"
1354,No marks or scratches.
1355,"Esta prácticamente nuevo, y funciona muy bien. Solo que llego con mucho retraso"
1356,"Love it, phone work on good condition!! EVERYTHING work totally fine, and it actually came WAYYYY faster then it was supposed to"
1357,Product arrived on time. It’s exactly as advertised. Considering getting another one.
1358,"The phone arrived with purple spots on the screen that are perceived in dark backgrounds. Similarly, the audio in video recording and playback is distorted. BAD BUY!"
1359,Item was lots of scratches and inside box charger and other not related Apple products
1360,Idk why but the phone restarts it’s self like 6 times a day since of got it
1361,excelente producto
1362,"Device didn’t work at all after being delivered, device wasn’t reactive to touch nor did it hold a charge for long. Sent back with hours after delivery. Wouldn’t recommend buying from this company"
1363,"The phones condition was disappointing, the earpiece volume is too low I have to put the phone on loudspeaker, visible signs of screen replacement it generally doesn’t feel like a new phone to me."
1364,Phone came in a weird cinderella box so thought i got scammed but phone is like new nothing wrong with it at all! very happy with this purchase.
1365,Phone seems fine but was sent a USB-A wall charger and a USB-c to USB-c charging cable. Of course this phone uses the lightning cable so that was pretty worthless.
1366,I liked that when I got it there was nothing wrong with the phone. No dislike whatsoever
1367,"I think I got a pretty good deal, very pleased"
1368,Very happy with my new phone
1369,The phone was actually legit and it just had one minor scratch but nothing too big and brought a screen protector. Very happy with my purchase
1370,The phone came with a protection screen and great phone. Came fast and included a charger .
1371,It’s perfect! Came with 100% battery life! It does have a couple minor bumps and scratches but it is amazing quality for the money!
1372,The battery life was low and came with a cracked back. Seller stayed battery life would be at least 90% and it was not so with this phone
1373,Had a scratch already in the screen
1374,Omg this is the best phone ever.Its real 100% there’s no scam and it’s the real thing. Would recommend 👍
1375,It was my daughter it seem to be fine she doesn't put it down
1376,Works great ..bought 2 for me and my husband..been having em for about 6months now ! No problems so far!
1377,It’s perfect I love it I had it for 3 months I haven’t had any issues
1378,"The media could not be loaded.
                




   Perfecto, todo llego perfecto, muy buenas condiciones excelente calidad el producto. Lo recomiendo."
1379,Excelente telefono funciona al 100 comprenlo me llego desbloqueado gracias
1380,"Not a single scratch in sight. Works just like new. It did not come in the original iphone box though, i don’t care but some people may."
1381,I was skeptical after seeing some of the reviews but  it was worth it
1382,The phone’s battery health came at 80%. The phone also did not come with a working charger. I would not recommend.
1383,"I like the perfect size of the items but if it’s not not the size that I ordered, that what I dislike"
1384,Si me agrado pero no valia la opcion de vibracion y tuve q calibrarlo.
1385,I use it for for everything.  I love it.
1386,"It came in great condition, no scratches, no sign of previous use. 5/5"
1387,Se calienta mucho y le dura muy poco la batería se traba también
1388,Horrible
1389,"Everything work perfectly! Finger print, battery life, face recognition."
1390,It’s a perfect refurbished phone.
1391,The screen randomly stopped working and has lines going up and down it. Ive only had this phone for 3 months.
1392,No issues this far great for price & the 11 is actually bigger than the 13 no scratches or dents great battery life
1393,"Pensé que el móvil iba a llegar con el 100% de batería y veo que no fue así, me siento decepcionada."
1394,"Basically brand new, 10/10 recommend !"
1395,It was more than expected
1396,Cargador original
1397,"The screen has severe scratched like cracked., is this normal to renewed phone? Too expensive for the 2 year old-used phone.. very disappointed"
1398,I like the phone so far everything about it is perfect besides the fact that it restarts all the time whenever it feels like it .. oh and I don’t think my camera flash works lol but not positive on that because my flash works on the Snapchat app
1399,"Comes with the phone , but for the same price you can order it from the Apple website and get more."
1400,"Came looking brand new in the box. No issues, no technicalities. Definitely a great deal and I wouldn’t hesitate to buy it again if needed!"
1401,So far just love this phone
1402,Perfect brand New would have never thought I would buy a phone off Amazon and I’m so glad I did I saved over $200
1403,Its not opened before xmass. Im happy it arrived earlier than expected. More comments after xmass
1404,"Love my new phone, I’ve had it for a few months Ans works great no problems great battery life."
1405,volvería a comprar de nuevo. Cero arrepentimiento. Estéticamente 97 de 100.
1406,nice
1407,Phone came in perfect condition also had a screen protector already on so that was cool. Battery usually lasts me the whole day
1408,"I love my new phone, good quality & it came w/a free case & screen protector."
1409,Perfecto
1410,"I received the phone with a screen protector, but when I took the screen protector off I saw that it had scratches. The description also said that it was brand new when it’s not. I do not recommend anyone to buy a phone from this website."
1411,It works well so far good for the money
1412,this phone is perfect . i have had it for about 4 months now . & out the box it looked brand new . not a single scratch . they gave me a fast charger also ! & the battery seems like it never dies LITERALLY 😂‼️
1413,"I received the phone and noticed a small crack, toward the bottom left side on the screen."
1414,I love everything about it
1415,"Battery came at 90% but everything about the phone is great. No scratches anywhere on the phone, looks brand new. Highly recommend."
1416,Desbloqueado 100% 👌
1417,My husband really like it
1418,I love my new phone. It came in great condition.
1419,The phone came with a vibrating camera. I could not take pictures properly.
1420,Was the color my grandson wanted was fully unlocked  great value for the money
1421,Just as described. My daughter loves it and we are totally faithful to Apple!
1422,The phone came as advertised ! No issues at all
1423,Phone is great! Even came with a fast charger!! That just saved me 40 Bucks. Although the battery life said it was at 91% So it obviously had been used.
1424,I am very pleased with this phone.  It is just as described and works beautifully.
1425,"Thank you so much for the delivery and works amazingly ... please though be careful with packaging,found a few scratches"
1426,Great product no issues so far.
1427,Buen teléfono
1428,Got my package earlier than expected. Love my new iphone11.
1429,Great phone! Works well and the battery last a good amount of time!
1430,Excelente Equipo.
1431,"Aside from the phone being in perfect physical condition, I received a damaged item. The microphone does not work. My contacts cannot hear a word I'm saying. Very disappointed I got a bad batch of a phone."
1432,My husband got this phone for me for Christmas and honestly I was skeptical about the phone but when I opened it up I was happy with no scratches and battery life is good thank you Amazon 😁
1433,Minor chip in one corner but everything works great. My brother loved his new phone.
1434,I love this! Is just like new. I’ve had it for about a month now and nothing seems to be wrong with it.
1435,"Buen producto, todo lo que esperaba"
1436,The sim tray is missing. Battery life under 90%. Same of the parts are damaged.
1437,I just returned it because I found it at a better price.
1438,Product was used but looked very new.
1439,I ordered it yesterday and it was at my door by noon. It’s really good price for a unlocked phone few dinks you can barely see overall I’m very satisfied with my phone
1440,"Would've liked fingerprint access, but facial recognition seems to be pretty good"
1441,I received this phone and it works like brand new. Looks great. Love it.
1442,"had no scratches, it definitely was unlocked, and fast loading. would order from them again"
1443,"Get yourself a iPhone 11, 11pro or 12 and you will never use android again. Take a loan and get one!!! it would money well spent. More features and capacity than you will ever use."
1444,"I was hesitant to order an Amazon renewed product, but the phone is flawless and has 92% battery health. I also ordered a T-Mobile Lockheed phone and it did in fact work with T-Mobile."
1445,Bad packaging and some scratches on the screen but overall decent. keeping it.
1446,"The phone is in good condition, but face recognition doesn’t work. Everything else is fine."
1447,"Phone came perfect and with a screen protector(not the case shown in the photo)! No nicks or scratches, or technical issues. Took it right to my carrier and was set up no problem. Great deal on a great phone!"
1448,"Overall, it was good, but it had a corner that was scratched up. Other than that, it is a pretty good device."
1449,"EXCELENTE EL PRODUCTO Y EL CARGADOR, LA MEJOR COMPRA DE TODAS LAS QUE HICE EN ESTE MERCADO"
1450,my daughter loves her new phone
1451,Speaker sounded blown. Took almost 1 month to get replacement. Not worth it.
1452,Phone was in good shape. Dislike the box it came in was ripped up.
1453,"It came right on time with a special pink gift on the inside (Case), it also had the charger and the block come with it as well. Would definitely order again"
1454,Anda muy mal la cámara. Todo borroso. La batería no dura nada. Se apaga de la nada. No recomiendo.
1455,Phone to small
1456,The phone works great and at a great price will definitively buy another one in a couple years
1457,The touch part of the iPhone has been the worst I have seen!! I can’t text without having to shut my phone off and turn back on!  I reset the settings and same thing!  I won’t ever buy from here again!!
1458,Came super quick and the phone is just like it’s brand new. Definitely would recommend. Coming from Android I’m very impressed by this iPhone.
1459,"Brand new condition, with a battery life of 100%, came with a screen protector and a charger. One of the best purchases I’ve made."
1460,What I didn’t like is that the phone came without headphones
1461,Seems to be great
1462,i bought this phone twice the first time my bottom half was glitching then i refunded it and got a new one and i love it
1463,I received it right on time. Great product and price. Everything works perfectly!
1464,Muy buen producto
1465,"Solo tenia pequeños rasguños en la parte superior e inferior, de ahí todo funciona bien, batería al 93%"
1466,I got the IPhone 11 and everything worked fine but the speakers were damaged. It was a hard ware failure so I had to return it.
1467,Everything has been great with this phone. Thank you!!
1468,We were very pleased with our purchase
